2025-03-06 16:39:56 | User: Admin | Action: migrate subscriber from bucket to hive | Page: /migration | Details: Admin attempted to migrate BILLING-TEST subscriber from bucket to hive | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:39:57 | User: Admin | Action: migrate subscriber from bucket to hive | Page: /migration | Details: Admin attempted to migrate BILLING-TEST subscriber from bucket to hive | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:40:19 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:40:41 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:40:46 | User: Admin | Action: page visit | Page: /rogue-devices | Details: Admin visited the /rogue-devices page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:40:53 | User: Admin | Action: page visit | Page: /network-address | Details: Admin visited the /network-address page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:41:05 | User: Admin | Action: page visit | Page: /network-address/100.126.0.0 | Details: Admin visited the /network-address/100.126.0.0 page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:41:14 | User: Admin | Action: page visit | Page: /troubleshooting | Details: Admin visited the /troubleshooting page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:41:24 | User: Admin | Action: page visit | Page: /provisioned | Details: Admin visited the /provisioned page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:41:24 | User: Admin | Action: page visit | Page: /provisioned/SME-201901-4 | Details: Admin visited the /provisioned/SME-201901-4 page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
